Market,Order Region,Category Name,Shipping Mode,total_orders,avg_days_variance,late_delivery_rate_pct,cancellation_rate_pct,total_sales,total_profit,total_losses
LATAM,Central America,Cleats,Standard Class,2433,0,37.61,1.73,440806.53,46611.49,-46572.12
LATAM,Central America,Men's Footwear,Standard Class,2182,0,38.77,1.97,283638.19,25916.74,-34323.38
Europe,Western Europe,Cleats,Standard Class,2120,-0,38.4,1.93,383516.76,43426.81,-40438.45
LATAM,Central America,Women's Apparel,Standard Class,2012,0,37.08,1.39,303600,33076.09,-31934.5
LATAM,Central America,Indoor/Outdoor Games,Standard Class,1933,0,39.06,1.66,290983.56,33531.79,-29255.89
Europe,Western Europe,Men's Footwear,Standard Class,1881,0,37.85,2.02,244511.2,23942.87,-28052.84
Europe,Western Europe,Women's Apparel,Standard Class,1848,0,38.15,1.89,278600,33564.61,-28287.28
LATAM,Central America,Fishing,Standard Class,1718,0,39.87,1.63,687165.66,85863.59,-67024.36
Europe,Western Europe,Indoor/Outdoor Games,Standard Class,1610,-0,37.58,1.8,239504.16,31430.32,-21526.18
LATAM,Central America,Water Sports,Standard Class,1544,-0,37.05,2.66,308784.57,30228.44,-35803.9
Europe,Western Europe,Fishing,Standard Class,1522,0.1,41.79,2.23,608769.58,66272.9,-63395.44
LATAM,Central America,Camping & Hiking,Standard Class,1411,0.1,40.33,2.2,423271.8,45884.29,-43551.91
Europe,Western Europe,Water Sports,Standard Class,1384,0,38.95,1.81,278736.17,22391.19,-35578.76
LATAM,South America,Cleats,Standard Class,1247,0,37.05,2.49,224122.65,22639.02,-24064.03
LATAM,Central America,Cardio Equipment,Standard Class,1237,0,39.37,1.94,366793.53,35019.14,-42506.68
Europe,Western Europe,Camping & Hiking,Standard Class,1174,-0,37.14,1.96,352176.53,37647.84,-35572.4
LATAM,South America,Women's Apparel,Standard Class,1169,0,38.84,2.65,174250,21293.97,-16542.17
Europe,Western Europe,Cardio Equipment,Standard Class,1136,-0.1,36.62,2.2,337066.53,35911.75,-37283.04
LATAM,Central America,Shop By Sport,Standard Class,1134,0,38.18,2.12,135987.01,13194.98,-15416.32
LATAM,South America,Men's Footwear,Standard Class,1128,0,37.32,2.04,146628.73,15671.81,-15729.62
LATAM,South America,Indoor/Outdoor Games,Standard Class,1066,0,40.34,1.97,160035.96,16293.42,-16279.73
Europe,Western Europe,Shop By Sport,Standard Class,973,-0,36.79,2.47,115272.02,10434.13,-12870.46
LATAM,South America,Fishing,Standard Class,881,-0,38.48,2.04,352382.39,29446.12,-45248.77
LATAM,South America,Water Sports,Standard Class,816,-0,36.64,3.19,163191.84,17017.27,-17095.13
Europe,Northern Europe,Cleats,Standard Class,786,0,37.91,1.53,143496.2,17143.17,-13261.86
LATAM,Central America,Cleats,Second Class,769,2,77.76,1.43,135577.4,14448.16,-13850.33
Europe,Western Europe,Cleats,Second Class,750,2.1,78.13,1.33,134257.74,18268.06,-11733.5
Europe,Southern Europe,Cleats,Standard Class,747,-0,36.14,1.34,133417.84,16815.88,-11367.78
USCA,West of USA,Cleats,Standard Class,746,0.1,39.68,2.41,133657.72,12263.91,-15907.82
LATAM,Caribbean,Cleats,Standard Class,735,-0.1,34.42,1.9,134197.63,15480,-12937.3
LATAM,Central America,Men's Footwear,Second Class,730,1.9,72.88,2.05,94892.7,9976.66,-10173.53
Pacific Asia,Oceania,Cleats,Standard Class,728,0.1,43.13,1.24,130538.24,14618.64,-13218.16
Europe,Northern Europe,Men's Footwear,Standard Class,724,-0,37.02,1.66,94112.76,12778.98,-8345.37
Europe,Northern Europe,Women's Apparel,Standard Class,710,-0,37.89,2.54,105950,13710.91,-9747.15
LATAM,South America,Camping & Hiking,Standard Class,708,0,38.14,2.68,212385.85,19891.94,-26247.97
Europe,Southern Europe,Men's Footwear,Standard Class,706,-0,36.26,1.98,91772.94,10111.46,-10063.76
Pacific Asia,Oceania,Men's Footwear,Standard Class,697,-0.1,36.3,1.87,90603.03,8121.2,-10637.37
Europe,Southern Europe,Women's Apparel,Standard Class,691,-0.1,36.32,2.17,102150,12422.3,-9335.21
LATAM,Central America,Women's Apparel,Second Class,683,2,73.21,2.05,104350,10441.21,-11440.3
Pacific Asia,Southeast Asia,Cleats,Standard Class,665,-0,39.7,2.26,117820.36,12348.15,-12683.91
Europe,Western Europe,Men's Footwear,Second Class,664,2.1,78.31,1.81,86313.36,10691.29,-8114.99
LATAM,South America,Cardio Equipment,Standard Class,646,-0.1,37.93,1.39,190001.25,25502.79,-17361.64
LATAM,Caribbean,Men's Footwear,Standard Class,645,-0.1,33.02,2.17,83843.55,9319.18,-8903.53
Europe,Western Europe,Women's Apparel,Second Class,635,2.1,77.64,2.05,94800,9675.38,-10239.63
LATAM,Central America,Indoor/Outdoor Games,Second Class,634,2,76.5,1.74,95511.78,9050.3,-11067.53
LATAM,Central America,Cleats,First Class,625,1,96.48,1.6,113441.09,13299.56,-10858.05
Pacific Asia,Oceania,Women's Apparel,Standard Class,618,0,37.7,0.65,93250,9581.31,-10776.75
Pacific Asia,Oceania,Indoor/Outdoor Games,Standard Class,614,-0.1,39.09,1.3,89664.12,9913.81,-9118.6
Europe,Western Europe,Cleats,First Class,614,1,95.11,2.77,109181.92,17074.32,-7436.79
USCA,West of USA,Men's Footwear,Standard Class,608,-0.1,36.02,2.8,79033.92,6750.88,-9519.03
Europe,Northern Europe,Indoor/Outdoor Games,Standard Class,603,0,40.13,2.82,91213.5,8347.35,-11181.49
LATAM,Caribbean,Women's Apparel,Standard Class,600,-0,35.83,1.5,87550,8517.46,-10249.44
Europe,Southern Europe,Indoor/Outdoor Games,Standard Class,594,0,40.24,2.19,90563.76,10880.36,-8534.08
LATAM,Caribbean,Indoor/Outdoor Games,Standard Class,577,0,36.05,3.29,86515.38,8034.79,-10522.59
Pacific Asia,Southeast Asia,Men's Footwear,Standard Class,568,0.1,41.02,2.29,73834.32,7951.9,-7955.38
USCA,West of USA,Women's Apparel,Standard Class,564,0,38.83,1.95,83550,12625.96,-6679.94
Pacific Asia,South Asia,Cleats,Standard Class,563,0,36.77,1.95,103782.7,9963.05,-11405.41
LATAM,South America,Shop By Sport,Standard Class,557,-0,37.88,2.51,70283.22,7911.67,-7276.4
Europe,Western Europe,Indoor/Outdoor Games,Second Class,557,2.1,79.35,2.33,80117.94,9162.89,-8145.28
USCA,East of USA,Cleats,Standard Class,554,0.1,38.99,1.81,103182.8,10474.03,-11438.4
Pacific Asia,Southeast Asia,Indoor/Outdoor Games,Standard Class,553,-0,37.61,2.35,83716.5,10393.44,-7494.64
Pacific Asia,Oceania,Fishing,Standard Class,551,-0.1,38.11,1.09,220388.99,24239.34,-23905.17
Pacific Asia,Southeast Asia,Women's Apparel,Standard Class,550,-0,39.45,2.18,82500,7230.68,-9848.55
Europe,Northern Europe,Fishing,Standard Class,548,-0.1,35.95,2.19,219189.05,25484.83,-22210.07
LATAM,Central America,Women's Apparel,First Class,541,1,95.75,1.29,83700,8932.88,-8770.67
USCA,East of USA,Men's Footwear,Standard Class,541,0.1,42.88,2.96,70324.59,7397.07,-8056.53
Europe,Southern Europe,Fishing,Standard Class,540,-0.1,35.37,1.67,215989.21,22617.05,-21857.36
Europe,Western Europe,Fishing,Second Class,535,2,76.82,1.31,213989.31,24305.32,-19791.63
LATAM,Central America,Men's Footwear,First Class,526,1,93.92,2.28,68374.74,7267.93,-7517.22
Pacific Asia,West Asia,Cleats,Standard Class,525,0.1,40,1.33,99043.49,8960.34,-11098.38
Pacific Asia,South Asia,Men's Footwear,Standard Class,523,-0.1,35.37,1.91,67984.77,8090.15,-6208.74
USCA,East of USA,Women's Apparel,Standard Class,523,0,37.48,2.1,76200,9142.44,-7128.76
USCA,West of USA,Indoor/Outdoor Games,Standard Class,519,-0.1,37.76,1.93,74370.24,9481.08,-6979.49
Europe,Western Europe,Women's Apparel,First Class,517,1,94.2,2.9,77150,10384.75,-5733.2
LATAM,Central America,Fishing,Second Class,511,1.9,73.78,0.98,204389.79,23379.35,-19341.36
LATAM,Caribbean,Fishing,Standard Class,508,-0.1,31.69,0.59,203189.85,19143.76,-23798.81
Europe,Western Europe,Men's Footwear,First Class,508,1,97.44,1.38,66034.92,7678.77,-6161.07
Pacific Asia,Southeast Asia,Fishing,Standard Class,506,0,37.15,2.37,202389.89,20064.93,-23099.95
LATAM,Central America,Water Sports,Second Class,502,1.9,74.3,2.59,100394.98,13932.14,-8081.79
Europe,Northern Europe,Camping & Hiking,Standard Class,499,0,39.48,2.2,149690.03,13676.89,-17165.15
Pacific Asia,Eastern Asia,Men's Footwear,Standard Class,497,0,37.63,2.01,64605.03,7169.38,-6443.68
LATAM,Central America,Indoor/Outdoor Games,First Class,494,1,93.93,2.63,73920.42,8825.45,-7421.72
Europe,Southern Europe,Water Sports,Standard Class,484,-0.1,33.68,0.83,97545.16,10584.82,-9036.59
Europe,Western Europe,Water Sports,Second Class,479,2.1,77.24,1.67,96545.21,10445.58,-10810.1
Pacific Asia,Eastern Asia,Cleats,Standard Class,476,0.1,41.18,1.68,83026.16,10091.24,-8076.92
Europe,Northern Europe,Water Sports,Standard Class,476,-0.1,34.45,2.31,95945.24,12517.62,-8361.44
USCA,West of USA,Fishing,Standard Class,475,-0.1,36,2.74,189990.51,23101.6,-17947.93
USCA,US Center,Cleats,Standard Class,474,0.1,38.4,2.11,86565.57,8789.32,-9418.77
USCA,US Center,Men's Footwear,Standard Class,472,-0,38.56,2.75,61355.28,6195.67,-7464.9
Pacific Asia,West Asia,Men's Footwear,Standard Class,470,0,36.6,1.49,61095.3,8340.23,-5459.58
Pacific Asia,Oceania,Water Sports,Standard Class,463,0.1,40.82,1.08,92595.37,8367.65,-10947.76
LATAM,Central America,Camping & Hiking,Second Class,458,1.9,72.27,0.87,137390.85,13419.49,-16125.71
LATAM,Central America,Fishing,First Class,448,1,95.09,2.23,179191.04,22391.86,-16932.88
USCA,West of USA,Water Sports,Standard Class,448,-0,38.39,2.68,89595.52,11000.1,-7944
USCA,East of USA,Indoor/Outdoor Games,Standard Class,438,0,38.13,2.05,65373.84,8000.87,-6222.09
LATAM,Caribbean,Water Sports,Standard Class,438,0,36.76,2.28,87595.62,10706.13,-8683.14
Pacific Asia,South Asia,Women's Apparel,Standard Class,437,0.1,40.73,2.29,65300,6864.74,-6534.07
Pacific Asia,Eastern Asia,Indoor/Outdoor Games,Standard Class,435,-0.1,32.64,3.22,65823.66,6945.06,-6689.62
